Source,Type,Target,Weight
gellerup,undirected,gellerup kirk,1
gellerup,undirected,ledøjesmørum pastorat,1
gellerup,undirected,vietnam,1
mellemøst,undirected,vest,11
jerusalem,undirected,vest,14
cairo,undirected,vest,1
babylon,undirected,vest,1
pakistan,undirected,vest,2
kina,undirected,vest,7
vest,undirected,århus,1
danmark,undirected,vest,28
canada,undirected,vest,2
gellerup kirk,undirected,vest,1
ledøjesmørum pastorat,undirected,vest,1
vest,undirected,vietnam,2
jerusalem,undirected,mellemøst,48
cairo,undirected,mellemøst,2
babylon,undirected,mellemøst,4
mellemøst,undirected,pakistan,3
kina,undirected,mellemøst,3
mellemøst,undirected,århus,4
danmark,undirected,mellemøst,54
canada,undirected,mellemøst,2
gellerup kirk,undirected,mellemøst,1
ledøjesmørum pastorat,undirected,mellemøst,1
mellemøst,undirected,vietnam,1
cairo,undirected,jerusalem,2
jerusalem,undirected,pakistan,5
jerusalem,undirected,kina,15
jerusalem,undirected,århus,27
canada,undirected,jerusalem,3
gellerup kirk,undirected,jerusalem,1
jerusalem,undirected,ledøjesmørum pastorat,1
jerusalem,undirected,vietnam,3
babylon,undirected,cairo,1
cairo,undirected,pakistan,1
cairo,undirected,kina,1
cairo,undirected,århus,1
cairo,undirected,danmark,3
cairo,undirected,canada,1
cairo,undirected,gellerup kirk,1
cairo,undirected,ledøjesmørum pastorat,1
cairo,undirected,vietnam,1
babylon,undirected,pakistan,1
babylon,undirected,kina,1
babylon,undirected,århus,4
babylon,undirected,canada,1
babylon,undirected,gellerup kirk,1
babylon,undirected,ledøjesmørum pastorat,1
babylon,undirected,vietnam,1
kina,undirected,pakistan,1
pakistan,undirected,århus,1
danmark,undirected,pakistan,12
canada,undirected,pakistan,1
gellerup kirk,undirected,pakistan,1
ledøjesmørum pastorat,undirected,pakistan,1
pakistan,undirected,vietnam,1
kina,undirected,århus,4
canada,undirected,kina,1
gellerup kirk,undirected,kina,1
kina,undirected,ledøjesmørum pastorat,1
kina,undirected,vietnam,3
canada,undirected,århus,1
gellerup kirk,undirected,århus,2
ledøjesmørum pastorat,undirected,århus,1
vietnam,undirected,århus,1
canada,undirected,danmark,6
danmark,undirected,gellerup kirk,1
danmark,undirected,ledøjesmørum pastorat,1
danmark,undirected,vietnam,2
canada,undirected,gellerup kirk,1
canada,undirected,ledøjesmørum pastorat,1
canada,undirected,vietnam,2
gellerup kirk,undirected,ledøjesmørum pastorat,1
gellerup kirk,undirected,vietnam,1
ledøjesmørum pastorat,undirected,vietnam,1
