Source,Type,Target,Weight
jorden,undirected,nazarets,1
jorden,undirected,nazaret,15
jorden,undirected,vollsmose,1
nazaret,undirected,nazarets,4
nazarets,undirected,vollsmose,1
nazaret,undirected,vollsmose,1
jorden,undirected,palæstina,5
jerusalems,undirected,jorden,7
jorden,undirected,paradisets bro,2
jorden,undirected,kaldæa,2
jerusalem,undirected,jorden,43
jorden,undirected,paradis,23
jerusalems,undirected,palæstina,7
palæstina,undirected,paradisets bro,2
nazaret,undirected,palæstina,5
kaldæa,undirected,palæstina,3
jerusalem,undirected,palæstina,35
palæstina,undirected,paradis,6
jerusalems,undirected,paradisets bro,1
jerusalems,undirected,kaldæa,2
jerusalems,undirected,paradis,15
nazaret,undirected,paradisets bro,2
kaldæa,undirected,paradisets bro,2
jerusalem,undirected,paradisets bro,2
paradis,undirected,paradisets bro,2
kaldæa,undirected,nazaret,4
nazaret,undirected,paradis,19
jerusalem,undirected,kaldæa,6
kaldæa,undirected,paradis,2
jerusalem,undirected,paradis,85
bruxelles,undirected,jerusalem,5
jerusalem,undirected,tyskland,27
bruxelles,undirected,tyskland,1
metroen,undirected,nørreport,1
metroen,undirected,usa,1
israelpalæstina,undirected,metroen,1
nørreport,undirected,usa,2
israelpalæstina,undirected,nørreport,1
israelpalæstina,undirected,usa,1
afghanistan,undirected,egypten,4
afghanistan,undirected,israels,4
afghanistan,undirected,libyen,6
egypten,undirected,israels,30
egypten,undirected,libyen,4
danmark,undirected,libyen,12
israels,undirected,libyen,1
københavns domkirke,undirected,natkirken,1
afrika,undirected,grønland,4
grønland,undirected,tyskland,3
grønland,undirected,köllnerdom,1
ghana,undirected,grønland,1
grønland,undirected,nordpolen,2
grønland,undirected,thailands,1
alperne,undirected,grønland,1
domkirkens,undirected,grønland,1
banegården,undirected,grønland,1
grønland,undirected,køln,1
betlehem,undirected,grønland,5
grønland,undirected,vestsjælland,3
afrika,undirected,tyskland,2
afrika,undirected,köllnerdom,1
afrika,undirected,ghana,1
afrika,undirected,nordpolen,1
afrika,undirected,thailands,1
afrika,undirected,alperne,1
afrika,undirected,domkirkens,1
afrika,undirected,banegården,1
afrika,undirected,køln,1
afrika,undirected,vestsjælland,2
köllnerdom,undirected,tyskland,1
ghana,undirected,tyskland,1
nordpolen,undirected,tyskland,1
thailands,undirected,tyskland,1
alperne,undirected,tyskland,1
domkirkens,undirected,tyskland,1
banegården,undirected,tyskland,1
køln,undirected,tyskland,3
betlehem,undirected,tyskland,19
tyskland,undirected,vestsjælland,1
ghana,undirected,köllnerdom,1
köllnerdom,undirected,nordpolen,1
köllnerdom,undirected,thailands,1
alperne,undirected,köllnerdom,1
domkirkens,undirected,köllnerdom,1
banegården,undirected,köllnerdom,1
köllnerdom,undirected,køln,1
betlehem,undirected,köllnerdom,1
köllnerdom,undirected,vestsjælland,1
ghana,undirected,nordpolen,1
ghana,undirected,thailands,1
alperne,undirected,ghana,1
domkirkens,undirected,ghana,1
banegården,undirected,ghana,1
ghana,undirected,køln,1
betlehem,undirected,ghana,1
ghana,undirected,vestsjælland,1
nordpolen,undirected,thailands,1
alperne,undirected,nordpolen,1
domkirkens,undirected,nordpolen,1
banegården,undirected,nordpolen,1
køln,undirected,nordpolen,1
betlehem,undirected,nordpolen,2
nordpolen,undirected,vestsjælland,1
alperne,undirected,thailands,1
domkirkens,undirected,thailands,1
banegården,undirected,thailands,1
køln,undirected,thailands,1
betlehem,undirected,thailands,1
thailands,undirected,vestsjælland,1
alperne,undirected,domkirkens,1
alperne,undirected,banegården,1
alperne,undirected,køln,1
alperne,undirected,betlehem,1
alperne,undirected,vestsjælland,1
banegården,undirected,domkirkens,1
domkirkens,undirected,køln,1
betlehem,undirected,domkirkens,3
domkirkens,undirected,vestsjælland,1
banegården,undirected,køln,1
banegården,undirected,betlehem,1
banegården,undirected,vestsjælland,1
betlehem,undirected,køln,4
køln,undirected,vestsjælland,1
betlehem,undirected,vestsjælland,2
danmark,undirected,folkekirkens,2
atlas,undirected,danmark,1
danmark,undirected,gudsrigets,3
danmark,undirected,nazareth,41
atlas,undirected,folkekirkens,1
folkekirkens,undirected,gudsrigets,1
